N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"72,900",500,-0.68%,100,"4,351,971","5,969,783",52.23,"5,395,565",12.62,13.92,
2,LG에너지솔루션,"441,000","1,000",+0.23%,500,"1,031,940","234,000",3.74,"177,149",298.98,N/A,
3,SK하이닉스,"127,500","1,000",-0.78%,"5,000","928,203","728,002",50.85,"1,410,243",11.53,9.53,
4,삼성전자우,"66,800",100,-0.15%,100,"549,688","822,887",74.79,"215,110",11.56,N/A,
5,삼성바이오로직스,"771,000","4,000",-0.52%,"2,500","510,132","66,165",10.53,"18,845",124.27,N/A,
6,NAVER,"309,000","4,000",-1.28%,100,"506,912","164,049",55.02,"227,903",3.06,15.22,
7,카카오,"93,000","1,200",+1.31%,100,"414,745","445,962",28.24,"1,103,216",36.61,2.70,
8,LG화학,"587,000","3,000",-0.51%,"5,000","414,377","70,592",49.24,"162,874",15.30,2.93,
9,현대차,"180,500","1,000",-0.55%,"5,000","385,671","213,668",27.42,"228,137",9.15,2.04,
10,삼성SDI,"539,000","2,000",-0.37%,"5,000","370,641","68,765",44.25,"56,263",33.81,4.54,
11,기아,"77,700",0,0.00%,"5,000","314,967","405,363",35.35,"334,602",7.04,5.05,
12,KB금융,"62,500",100,-0.16%,"5,000","259,880","415,808",72.17,"426,117",5.97,8.53,
13,POSCO,"276,500","2,000",-0.72%,"5,000","241,072","87,187",52.84,"143,272",4.14,3.61,
14,카카오뱅크,"47,100",150,-0.32%,"5,000","223,800","475,159",16.19,"609,118",152.43,5.08,
15,셀트리온,"162,000","1,000",-0.61%,"1,000","223,488","137,956",20.60,"209,226",41.22,16.68,
16,현대모비스,"226,500",0,0.00%,"5,000","214,208","94,573",34.32,"65,656",9.12,4.66,
17,신한지주,"40,750",100,+0.25%,"5,000","210,514","516,600",62.20,"454,349",5.41,8.20,
18,삼성물산,"109,500",0,0.00%,100,"204,641","186,887",15.87,"82,379",12.46,3.81,
19,LG전자,"124,500","3,000",+2.47%,"5,000","203,742","163,648",28.44,"675,502",17.96,13.23,
20,SK이노베이션,"200,500",500,-0.25%,"5,000","185,393","92,466",23.49,"149,533","-5,897.06",-13.58,
21,카카오페이,"140,000","1,000",+0.72%,500,"184,729","131,949",42.58,"180,794",-696.52,-17.97,
22,SK,"227,000","5,500",+2.48%,200,"168,319","74,149",21.95,"74,349",26.53,1.11,
23,하나금융지주,"51,400",200,+0.39%,"5,000","154,324","300,242",71.34,"515,922",4.80,8.96,
24,LG생활건강,"979,000","28,000",-2.78%,"5,000","152,902","15,618",42.27,"31,178",20.37,17.92,
25,HMM,"30,750",0,0.00%,"5,000","150,380","489,039",10.88,"8,225,931",3.87,8.93,
26,한국전력,"22,350",100,-0.45%,"5,000","143,479","641,964",14.56,"422,043",-13.17,2.91,
27,크래프톤,"288,500","15,000",+5.48%,100,"141,573","49,072",29.52,"349,708",22.61,61.86,
28,삼성생명,"61,800",0,0.00%,500,"123,600","200,000",12.75,"118,052",7.90,3.53,
29,삼성전기,"164,500",0,0.00%,"5,000","122,871","74,694",29.90,"151,474",12.65,10.92,
30,SK텔레콤,"54,800",200,-0.36%,100,"119,921","218,833",45.05,"123,280",8.50,6.44,
31,LG,"75,700",500,-0.66%,"5,000","119,077","157,301",36.35,"80,193",4.99,7.50,
32,하이브,"284,000","10,500",+3.84%,500,"117,444","41,353",15.34,"397,744",101.03,12.52,
33,SK바이오사이언스,"148,000","1,500",+1.02%,500,"113,220","76,500",5.23,"159,314",56.99,13.25,
34,KT&G,"80,100",600,-0.74%,"5,000","109,971","137,292",36.40,"68,918",9.24,13.22,
35,삼성에스디에스,"139,500","1,000",+0.72%,500,"107,942","77,378",11.42,"26,451",15.88,6.71,
36,아모레퍼시픽,"184,000","4,500",-2.39%,500,"107,627","58,493",30.21,"149,647",70.96,0.78,
37,우리금융지주,"14,450",150,-1.03%,"5,000","105,205","728,061",33.91,"1,180,333",4.42,5.87,
38,대한항공,"29,500",250,-0.84%,"5,000","102,607","347,821",12.71,"924,554",13.86,-7.22,
39,엔씨소프트,"463,000",500,+0.11%,500,"101,647","21,954",43.61,"143,083",28.59,20.83,
40,고려아연,"526,000",0,0.00%,"5,000","99,256","18,870",18.32,"10,502",13.15,8.37,
41,두산중공업,"18,600",0,0.00%,"5,000","97,135","522,230",7.90,"2,727,873",56.02,-37.20,
42,현대중공업,"109,000","7,000",+6.86%,"5,000","96,763","88,773",2.23,"312,922",-11.90,-7.86,
43,삼성화재,"196,500","1,000",-0.51%,500,"93,092","47,375",48.67,"62,830",8.50,4.96,
44,S-Oil,"81,400",100,+0.12%,"2,500","91,642","112,583",77.82,"117,580",7.84,-13.07,
45,SK아이이테크놀로지,"125,000","4,000",+3.31%,"1,000","89,122","71,298",10.80,"186,640",82.18,11.00,
46,포스코케미칼,"113,000",0,0.00%,500,"87,533","77,463",6.39,"81,801",63.09,2.96,
47,넷마블,"100,000",500,-0.50%,100,"85,954","85,954",22.92,"55,094",36.98,6.35,
48,KT,"31,900",150,-0.47%,"5,000","83,295","261,112",39.57,"162,432",8.15,4.76,
49,기업은행,"10,850",50,-0.46%,"5,000","80,757","744,301",13.95,"546,191",4.02,6.44,
50,SK스퀘어,"56,700","1,600",+2.90%,100,"80,212","141,468",38.36,"931,052",N/A,N/A,
51,롯데케미칼,"229,500","3,000",+1.32%,"5,000","78,662","34,275",24.87,"60,858",5.77,1.22,
52,LG이노텍,"324,000","9,000",+2.86%,"5,000","76,681","23,667",23.25,"270,264",10.27,10.20,
53,LG디스플레이,"19,050",350,+1.87%,"5,000","68,164","357,816",17.38,"1,232,154",4.32,-0.79,
54,현대글로비스,"175,500","5,500",+3.24%,500,"65,812","37,500",42.93,"74,304",9.46,12.45,
55,F&F,"838,000","32,000",+3.97%,500,"64,203","7,661",14.54,"18,761",N/A,N/A,
56,한온시스템,"11,950",50,-0.42%,100,"63,789","533,800",17.60,"432,890",21.81,5.09,
57,한국조선해양,"88,200","5,000",+6.01%,"5,000","62,422","70,773",19.74,"313,409",-4.84,-7.42,
58,SK바이오팜,"79,500",100,-0.13%,500,"62,259","78,313",5.69,"61,400",-154.07,-135.18,
59,한화솔루션,"32,350",400,+1.25%,"5,000","61,879","191,278",18.16,"361,632",8.27,5.30,
60,LG유플러스,"13,150",0,0.00%,"5,000","57,414","436,611",35.89,"247,157",14.63,6.46,
61,CJ제일제당,"379,000","5,000",-1.30%,"5,000","57,055","15,054",22.42,"12,192",12.92,13.50,
62,맥쿼리인프라,"13,700",50,-0.36%,0,"55,464","404,846",14.02,"280,108",N/A,N/A,
63,KODEX 200,"36,775",15,+0.04%,0,"55,402","150,650",11.43,"1,683,411",N/A,N/A,
64,강원랜드,"25,800",400,-1.53%,500,"55,197","213,940",18.51,"770,384",-167.53,-7.92,
65,메리츠금융지주,"40,800",650,+1.62%,500,"54,677","134,011",8.91,"247,414",7.69,16.06,
66,에스디바이오센서,"52,800","1,100",+2.13%,500,"54,527","103,271",10.33,"738,128",8.00,139.97,
67,미래에셋증권,"8,780",20,-0.23%,"5,000","54,025","615,316",13.70,"355,799",6.01,8.94,
68,현대제철,"39,950",750,+1.91%,"5,000","53,312","133,446",20.81,"314,694",6.12,-2.59,
69,메리츠화재,"43,750","1,200",+2.82%,500,"52,773","120,625",12.64,"249,958",9.08,16.91,
70,코웨이,"69,900",100,+0.14%,500,"51,586","73,800",60.88,"36,257",11.57,31.51,
71,삼성중공업,"5,830",270,+4.86%,"1,000","51,304","880,000",13.98,"8,769,439",-2.38,-33.06,
72,SKC,"131,500","1,000",-0.75%,"5,000","49,797","37,868",16.58,"70,350",26.79,2.21,
73,금호석유,"160,000",500,+0.31%,"5,000","48,473","30,296",19.98,"71,380",2.86,20.18,
74,현대건설,"42,850",900,+2.15%,"5,000","47,716","111,356",23.13,"344,365",28.49,1.84,
75,한국금융지주,"79,700","1,900",+2.44%,"5,000","44,414","55,726",34.76,"94,832",2.73,16.27,
76,삼성엔지니어링,"22,500",250,+1.12%,"5,000","44,100","196,000",36.52,"360,066",12.45,17.32,
77,한국타이어앤테크놀로지,"34,600",350,-1.00%,500,"42,861","123,875",41.23,"115,393",6.49,5.12,
78,일진머티리얼즈,"91,900",100,-0.11%,500,"42,376","46,111",13.12,"80,449",66.69,7.23,
79,메리츠증권,"6,160",120,-1.91%,"1,000","41,995","681,731",13.24,"700,624",6.25,13.08,
80,DB손해보험,"59,000",800,-1.34%,500,"41,772","70,800",42.98,"69,054",5.24,9.08,
81,유한양행,"56,500",300,+0.53%,"1,000","41,376","73,231",17.42,"60,915",42.84,11.06,
82,현대중공업지주,"50,900","2,100",+4.30%,"1,000","40,207","78,993",16.67,"205,103",-11.80,-8.12,
83,아모레G,"47,050","1,050",-2.18%,500,"38,797","82,458",15.93,"68,822",26.42,0.31,
84,오리온,"98,000",800,-0.81%,500,"38,745","39,536",37.16,"28,916",16.30,15.50,
85,쌍용C&E,"7,620",10,+0.13%,100,"38,394","503,860",3.20,"103,773",18.63,7.92,
86,두산밥캣,"37,750",250,+0.67%,500,"37,844","100,249",25.31,"42,918",10.33,6.15,
87,삼성증권,"42,300",250,+0.59%,"5,000","37,774","89,300",30.15,"85,702",3.98,9.89,
88,GS,"40,050",100,-0.25%,"5,000","37,213","92,915",19.22,"60,707",3.63,-2.82,
89,삼성카드,"32,050",100,+0.31%,"5,000","37,133","115,859",7.28,"25,231",7.91,5.69,
90,한진칼,"54,800",100,-0.18%,"2,500","36,573","66,739",14.86,"35,258",-62.41,-19.55,
91,GS건설,"41,600",950,+2.34%,"5,000","35,602","85,581",26.14,"292,457",10.13,7.68,
92,이마트,"125,500","1,500",+1.21%,"5,000","34,984","27,876",33.57,"50,365",2.53,4.05,
93,팬오션,"6,540",100,+1.55%,"1,000","34,961","534,570",12.72,"6,639,966",11.24,3.25,
94,NH투자증권,"11,750",50,+0.43%,"5,000","34,901","297,034",17.82,"212,263",4.31,10.32,
95,한국가스공사,"37,350","2,600",+7.48%,"5,000","34,479","92,313",10.29,"691,669",7.76,-2.24,
96,현대차2우B,"91,900",900,-0.97%,"5,000","33,530","36,485",62.90,"29,843",4.66,N/A,
97,TIGER 차이나전기차SOLACTIVE,"15,690",590,+3.91%,0,"33,363","212,640",0.32,"2,341,561",N/A,N/A,
98,한미사이언스,"48,500",100,+0.21%,500,"33,282","68,624",2.21,"25,776",61.47,3.47,
99,한국항공우주,"33,350",100,-0.30%,"5,000","32,508","97,475",13.40,"252,229",226.87,6.39,
100,현대미포조선,"79,900","6,500",+8.86%,"5,000","31,914","39,942",10.35,"606,191",-20.76,-0.84,
101,한미약품,"258,500",500,-0.19%,"2,500","31,842","12,318",13.35,"8,070",41.18,1.65,
102,한전기술,"83,300",700,+0.85%,200,"31,837","38,220",2.43,"311,972",313.16,N/A,
103,호텔신라,"81,100",200,-0.25%,"5,000","31,830","39,248",14.77,"132,701",-31.13,-36.74,
104,DB하이텍,"68,400",900,+1.33%,"5,000","30,369","44,399",23.76,"976,364",14.29,23.07,
105,롯데지주,"28,900",50,-0.17%,200,"30,319","104,909",7.77,"42,578",15.06,-3.03,
106,현대오토에버,"109,000",500,+0.46%,500,"29,892","27,424",2.02,"30,093",39.56,11.09,
107,KCC,"319,500","6,500",+2.08%,"5,000","28,392","8,886",10.69,"40,068",4.03,12.79,
108,CJ대한통운,"123,500","1,500",-1.20%,"5,000","28,173","22,812",20.93,"14,779",95.66,3.89,
109,BGF리테일,"162,500",500,+0.31%,"1,000","28,086","17,284",31.75,"13,957",20.33,18.60,
110,한화시스템,"14,750",50,-0.34%,"5,000","27,866","188,919",2.07,"270,220",17.88,9.35,
111,GS리테일,"26,450",200,+0.76%,"1,000","27,698","104,718",8.07,"104,932",2.67,7.50,
112,대우조선해양,"24,850","2,700",+12.19%,"5,000","26,662","107,291",4.53,"1,869,039",-1.80,2.27,
113,제일기획,"23,150",250,+1.09%,200,"26,632","115,041",31.41,"57,372",13.64,16.11,
114,동서,"26,700",0,0.00%,500,"26,620","99,700",2.81,"19,916",25.07,8.61,
115,에스원,"69,100",0,0.00%,500,"26,257","37,999",53.08,"8,912",17.27,10.48,
116,한화생명,"3,010",15,+0.50%,"5,000","26,143","868,530",7.84,"543,929",3.42,1.90,
117,키움증권,"99,300",900,+0.91%,"5,000","26,036","26,220",25.43,"16,129",2.86,27.63,
118,신세계,"264,000","5,500",+2.13%,"5,000","25,991","9,845",25.29,"52,066",9.93,-2.81,
119,BNK금융지주,"7,970",0,0.00%,"5,000","25,977","325,935",40.38,"343,607",3.19,6.11,
120,현대해상,"29,050","1,500",+5.44%,500,"25,971","89,400",27.30,"588,907",6.79,7.13,
121,대우건설,"6,030",340,+5.98%,"5,000","25,062","415,623",10.81,"3,169,500",5.12,11.06,
122,하이트진로,"35,600","1,300",-3.52%,"5,000","24,968","70,134",5.73,"769,878",48.50,8.23,
123,포스코인터내셔널,"19,950",300,+1.53%,"5,000","24,613","123,375",6.84,"548,111",8.06,7.69,
124,롯데쇼핑,"86,800",400,-0.46%,"5,000","24,555","28,289",11.24,"20,341",-9.23,-7.70,
125,DL이앤씨,"124,500","2,500",+2.05%,"5,000","24,102","19,359",22.62,"94,129",N/A,N/A,
126,CJ,"82,600",200,-0.24%,"5,000","24,100","29,177",17.56,"15,066",71.58,1.89,
127,한솔케미칼,"212,500","1,500",+0.71%,"5,000","24,087","11,335",41.82,"23,608",16.58,24.50,
128,두산퓨얼셀,"36,350",550,+1.54%,100,"23,807","65,494",13.88,"124,353",727.00,4.18,
129,한화에어로스페이스,"46,450","1,150",+2.54%,"5,000","23,518","50,630",17.19,"153,401",8.43,4.78,
130,OCI,"98,100","3,600",+3.81%,"5,000","23,396","23,849",14.68,"355,439",11.70,-9.89,
131,녹십자,"198,000","1,000",+0.51%,"5,000","23,139","11,687",22.85,"28,024",26.83,7.48,
132,씨에스윈드,"54,000","3,000",+5.88%,500,"22,773","42,171",11.39,"235,711",49.00,8.19,
133,현대차우,"91,500",400,-0.44%,"5,000","22,286","24,357",58.51,"12,810",4.64,N/A,
134,LG화학우,"288,000","2,500",-0.86%,"5,000","22,144","7,689",72.16,"4,547",7.50,N/A,
135,만도,"46,650",50,-0.11%,"1,000","21,905","46,957",19.53,"130,610",9.83,0.37,
136,한화,"29,050",550,+1.93%,"5,000","21,776","74,959",15.76,"92,531",4.91,4.79,
137,SK케미칼,"123,500",500,+0.41%,"5,000","21,762","17,621",17.98,"25,646",58.87,30.49,
138,KODEX 200선물인버스2X,"2,500",0,0.00%,0,"21,175","847,000",4.46,"99,356,572",N/A,N/A,
139,TIGER 200,"36,780",5,+0.01%,0,"20,983","57,050",1.38,"353,773",N/A,N/A,
140,현대로템,"19,150",300,+1.59%,"5,000","20,901","109,142",3.67,"230,498",66.72,2.84,
141,효성티앤씨,"480,500","18,500",+4.00%,"5,000","20,795","4,328",14.05,"43,438",2.94,25.10,
142,효성첨단소재,"459,000","16,500",+3.73%,"5,000","20,563","4,480",8.94,"30,221",9.58,0.03,
143,롯데정밀화학,"79,200",0,0.00%,"5,000","20,434","25,800",20.82,"34,494",4.80,12.65,
144,KODEX 레버리지,"20,180",10,+0.05%,0,"19,817","98,200",3.35,"11,190,847",N/A,N/A,
145,농심,"325,500",500,+0.15%,"5,000","19,799","6,083",12.71,"9,693",18.55,7.50,
